file_size,entropy,num_sections,num_imports,has_debug,has_reloc,string_count,suspicious_apis,packed,class
2186412,6.888938272121396,3,180,1,0,971,7,1,0
8626221,7.07495253918957,1,6,1,0,983,6,1,0
15182937,2.83674653545995,7,133,1,0,878,0,1,0
10830912,2.160584543844994,1,7,0,0,932,8,1,0
1914090,1.204484738242579,2,57,0,0,43,5,0,0
16243481,2.8605383948149683,5,113,0,0,189,6,0,0
12767175,1.3402720688798286,10,196,0,1,956,0,0,0
15662841,2.5817036863870806,4,173,0,0,351,5,0,0
1207967,7.720158972108228,7,113,1,0,725,5,0,0
15551559,4.884452158319665,7,25,1,0,126,0,0,1
5917132,5.36538431153131,1,197,1,1,36,9,0,0
6150478,1.3119166499556627,11,111,1,1,110,4,0,1
19544432,0.09422251031400641,6,112,1,1,369,0,0,1
3273549,1.5390961806851076,1,94,1,1,866,1,0,0
33345999,4.615080473640964,6,196,0,0,768,2,0,1
1916488,7.280869103604053,6,90,0,1,796,0,1,0
720786,2.5639284378551572,5,190,0,1,913,6,0,0
797770,7.368112886113043,2,10,1,1,737,5,0,0
41821320,0.5345852185419595,5,118,0,1,578,9,0,0
35619779,2.210903113102334,1,86,1,0,447,4,0,0
1179133,0.7033709089815448,10,34,0,1,940,1,0,1
3473303,1.6467122687450404,9,165,0,1,36,9,0,1
3298070,0.5020346437642544,10,181,1,0,631,6,0,0
25154129,4.990172818467751,1,57,1,1,563,6,0,1
34914547,6.875401871715651,6,115,0,0,667,2,1,1
16600614,5.024729001837442,4,131,0,0,986,8,1,0
5333431,6.625142697173222,7,98,0,1,527,5,0,1
2225568,6.882624391036723,5,120,1,0,591,12,0,0
7333607,4.512638730325523,7,62,0,1,200,6,1,1
3648402,4.28646773125875,7,50,0,0,935,7,0,0
32197208,7.164376675486124,1,97,1,1,700,0,1,1
71549299,1.2018335800272348,1,33,0,1,567,12,0,0
27090383,2.870690473194605,9,53,0,1,952,5,0,0
28838010,6.441413756492797,3,73,0,1,307,4,0,0
8823201,5.507624101641799,1,179,0,0,958,12,0,0
7361456,5.92419403249525,7,47,1,0,922,7,0,0
11013332,2.8554238060379156,5,99,1,0,912,9,0,0
3801763,1.0071154724802316,2,93,1,0,40,9,0,0
6560983,5.074623956733155,14,49,1,0,386,3,0,1
3623179,7.0299408190832935,6,164,1,1,47,3,0,1
31034284,7.084550193528194,4,158,1,0,824,6,0,0
78526818,0.5322353902217678,2,119,0,1,200,6,0,1
22232157,4.100774386633363,2,71,0,1,502,11,0,0
31988270,2.0771047002047665,2,57,0,0,945,0,1,0
53382682,6.75862746538327,2,99,0,0,877,5,0,0
13077179,2.8319086979975587,2,140,0,1,311,9,1,0
5435773,3.0537945822400525,7,65,1,1,528,4,1,0
26304333,4.960580999335173,6,112,1,0,548,4,1,0
2794237,2.778643007540115,6,145,1,1,670,4,1,0
33039198,7.074770110279334,1,106,0,1,361,0,0,0
7573357,2.152095331143604,8,93,1,0,424,3,1,0
15826509,1.092682581336681,6,142,0,0,237,4,0,1
